,CSV_Url,"Population, total (millions)1990","Population, total (millions)2000","Population, total (millions)2010","Population, total (millions)2020",Population growth (annual %)1990,Population growth (annual %)2000,Population growth (annual %)2010,Population growth (annual %)2020,Surface area (sq. km) (thousands)1990,Surface area (sq. km) (thousands)2000,Surface area (sq. km) (thousands)2010,Surface area (sq. km) (thousands)2020,Population density (people per sq. km of land area)1990,Population density (people per sq. km of land area)2000,Population density (people per sq. km of land area)2010,Population density (people per sq. km of land area)2020,Poverty headcount ratio at national poverty lines (% of population)1990,Poverty headcount ratio at national poverty lines (% of population)2000,Poverty headcount ratio at national poverty lines (% of population)2010,Poverty headcount ratio at national poverty lines (% of population)2020,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)1990,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)2000,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)2010,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)2020,"GNI, Atlas method (current US$) (billions)1990","GNI, Atlas method (current US$) (billions)2000","GNI, Atlas method (current US$) (billions)2010","GNI, Atlas method (current US$) (billions)2020","GNI per capita, Atlas method (current US$)1990","GNI per capita, Atlas method (current US$)2000","GNI per capita, Atlas method (current US$)2010","GNI per capita, Atlas method (current US$)2020","GNI, PPP (current international $) (billions)1990","GNI, PPP (current international $) (billions)2000","GNI, PPP (current international $) (billions)2010","GNI, PPP (current international $) (billions)2020","GNI per capita, PPP (current international $)1990","GNI per capita, PPP (current international $)2000","GNI per capita, PPP (current international $)2010","GNI per capita, PPP (current international $)2020",Income share held by lowest 20%1990,Income share held by lowest 20%2000,Income share held by lowest 20%2010,Income share held by lowest 20%2020,"Life expectancy at birth, total (years)1990","Life expectancy at birth, total (years)2000","Life expectancy at birth, total (years)2010","Life expectancy at birth, total (years)2020","Fertility rate, total (births per woman)1990","Fertility rate, total (births per woman)2000","Fertility rate, total (births per woman)2010","Fertility rate, total (births per woman)2020","Adolescent fertility rate (births per 1,000 women ages 15-19)1990","Adolescent fertility rate (births per 1,000 women ages 15-19)2000","Adolescent fertility rate (births per 1,000 women ages 15-19)2010","Adolescent fertility rate (births per 1,000 women ages 15-19)2020","Contraceptive prevalence, any methods (% of women ages 15-49)1990","Contraceptive prevalence, any methods (% of women ages 15-49)2000","Contraceptive prevalence, any methods (% of women ages 15-49)2010","Contraceptive prevalence, any methods (% of women ages 15-49)2020",Births attended by skilled health staff (% of total)1990,Births attended by skilled health staff (% of total)2000,Births attended by skilled health staff (% of total)2010,Births attended by skilled health staff (% of total)2020,"Mortality rate, under-5 (per 1,000 live births)1990","Mortality rate, under-5 (per 1,000 live births)2000","Mortality rate, under-5 (per 1,000 live births)2010","Mortality rate, under-5 (per 1,000 live births)2020","Prevalence of underweight, weight for age (% of children under 5)1990","Prevalence of underweight, weight for age (% of children under 5)2000","Prevalence of underweight, weight for age (% of children under 5)2010","Prevalence of underweight, weight for age (% of children under 5)2020","Immunization, measles (% of children ages 12-23 months)1990","Immunization, measles (% of children ages 12-23 months)2000","Immunization, measles (% of children ages 12-23 months)2010","Immunization, measles (% of children ages 12-23 months)2020","Primary completion rate, total (% of relevant age group)1990","Primary completion rate, total (% of relevant age group)2000","Primary completion rate, total (% of relevant age group)2010","Primary completion rate, total (% of relevant age group)2020","School enrollment, primary (% gross)1990","School enrollment, primary (% gross)2000","School enrollment, primary (% gross)2010","School enrollment, primary (% gross)2020","School enrollment, secondary (% gross)1990","School enrollment, secondary (% gross)2000","School enrollment, secondary (% gross)2010","School enrollment, secondary (% gross)2020","School enrollment, primary and secondary (gross), gender parity index (GPI)1990","School enrollment, primary and secondary (gross), gender parity index (GPI)2000","School enrollment, primary and secondary (gross), gender parity index (GPI)2010","School enrollment, primary and secondary (gross), gender parity index (GPI)2020","Prevalence of HIV, total (% of population ages 15-49)1990","Prevalence of HIV, total (% of population ages 15-49)2000","Prevalence of HIV, total (% of population ages 15-49)2010","Prevalence of HIV, total (% of population ages 15-49)2020",Forest area (sq. km) (thousands)1990,Forest area (sq. km) (thousands)2000,Forest area (sq. km) (thousands)2010,Forest area (sq. km) (thousands)2020,Terrestrial and marine protected areas (% of total territorial area)1990,Terrestrial and marine protected areas (% of total territorial area)2000,Terrestrial and marine protected areas (% of total territorial area)2010,Terrestrial and marine protected areas (% of total territorial area)2020,"Annual freshwater withdrawals, total (% of internal resources)1990","Annual freshwater withdrawals, total (% of internal resources)2000","Annual freshwater withdrawals, total (% of internal resources)2010","Annual freshwater withdrawals, total (% of internal resources)2020",Urban population growth (annual %)1990,Urban population growth (annual %)2000,Urban population growth (annual %)2010,Urban population growth (annual %)2020,Energy use (kg of oil equivalent per capita)1990,Energy use (kg of oil equivalent per capita)2000,Energy use (kg of oil equivalent per capita)2010,Energy use (kg of oil equivalent per capita)2020,CO2 emissions (metric tons per capita)1990,CO2 emissions (metric tons per capita)2000,CO2 emissions (metric tons per capita)2010,CO2 emissions (metric tons per capita)2020,Electric power consumption (kWh per capita)1990,Electric power consumption (kWh per capita)2000,Electric power consumption (kWh per capita)2010,Electric power consumption (kWh per capita)2020,GDP (current US$) (billions)1990,GDP (current US$) (billions)2000,GDP (current US$) (billions)2010,GDP (current US$) (billions)2020,GDP growth (annual %)1990,GDP growth (annual %)2000,GDP growth (annual %)2010,GDP growth (annual %)2020,"Inflation, GDP deflator (annual %)1990","Inflation, GDP deflator (annual %)2000","Inflation, GDP deflator (annual %)2010","Inflation, GDP deflator (annual %)2020","Agriculture, forestry, and fishing, value added (% of GDP)1990","Agriculture, forestry, and fishing, value added (% of GDP)2000","Agriculture, forestry, and fishing, value added (% of GDP)2010","Agriculture, forestry, and fishing, value added (% of GDP)2020","Industry (including construction), value added (% of GDP)1990","Industry (including construction), value added (% of GDP)2000","Industry (including construction), value added (% of GDP)2010","Industry (including construction), value added (% of GDP)2020",Exports of goods and services (% of GDP)1990,Exports of goods and services (% of GDP)2000,Exports of goods and services (% of GDP)2010,Exports of goods and services (% of GDP)2020,Imports of goods and services (% of GDP)1990,Imports of goods and services (% of GDP)2000,Imports of goods and services (% of GDP)2010,Imports of goods and services (% of GDP)2020,Gross capital formation (% of GDP)1990,Gross capital formation (% of GDP)2000,Gross capital formation (% of GDP)2010,Gross capital formation (% of GDP)2020,"Revenue, excluding grants (% of GDP)1990","Revenue, excluding grants (% of GDP)2000","Revenue, excluding grants (% of GDP)2010","Revenue, excluding grants (% of GDP)2020",Net lending (+) / net borrowing (-) (% of GDP)1990,Net lending (+) / net borrowing (-) (% of GDP)2000,Net lending (+) / net borrowing (-) (% of GDP)2010,Net lending (+) / net borrowing (-) (% of GDP)2020,Time required to start a business (days)1990,Time required to start a business (days)2000,Time required to start a business (days)2010,Time required to start a business (days)2020,Domestic credit provided by financial sector (% of GDP)1990,Domestic credit provided by financial sector (% of GDP)2000,Domestic credit provided by financial sector (% of GDP)2010,Domestic credit provided by financial sector (% of GDP)2020,Tax revenue (% of GDP)1990,Tax revenue (% of GDP)2000,Tax revenue (% of GDP)2010,Tax revenue (% of GDP)2020,Military expenditure (% of GDP)1990,Military expenditure (% of GDP)2000,Military expenditure (% of GDP)2010,Military expenditure (% of GDP)2020,Mobile cellular subscriptions (per 100 people)1990,Mobile cellular subscriptions (per 100 people)2000,Mobile cellular subscriptions (per 100 people)2010,Mobile cellular subscriptions (per 100 people)2020,Individuals using the Internet (% of population)1990,Individuals using the Internet (% of population)2000,Individuals using the Internet (% of population)2010,Individuals using the Internet (% of population)2020,High-technology exports (% of manufactured exports)1990,High-technology exports (% of manufactured exports)2000,High-technology exports (% of manufactured exports)2010,High-technology exports (% of manufactured exports)2020,Statistical Capacity score (Overall average)1990,Statistical Capacity score (Overall average)2000,Statistical Capacity score (Overall average)2010,Statistical Capacity score (Overall average)2020,Merchandise trade (% of GDP)1990,Merchandise trade (% of GDP)2000,Merchandise trade (% of GDP)2010,Merchandise trade (% of GDP)2020,Net barter terms of trade index (2000 = 100)1990,Net barter terms of trade index (2000 = 100)2000,Net barter terms of trade index (2000 = 100)2010,Net barter terms of trade index (2000 = 100)2020,"External debt stocks, total (DOD, current US$) (millions)1990","External debt stocks, total (DOD, current US$) (millions)2000","External debt stocks, total (DOD, current US$) (millions)2010","External debt stocks, total (DOD, current US$) (millions)2020","Total debt service (% of exports of goods, services and primary income)1990","Total debt service (% of exports of goods, services and primary income)2000","Total debt service (% of exports of goods, services and primary income)2010","Total debt service (% of exports of goods, services and primary income)2020",Net migration (thousands)1990,Net migration (thousands)2000,Net migration (thousands)2010,Net migration (thousands)2020,"Personal remittances, received (current US$) (millions)1990","Personal remittances, received (current US$) (millions)2000","Personal remittances, received (current US$) (millions)2010","Personal remittances, received (current US$) (millions)2020","Foreign direct investment, net inflows (BoP, current US$) (millions)1990","Foreign direct investment, net inflows (BoP, current US$) (millions)2000","Foreign direct investment, net inflows (BoP, current US$) (millions)2010","Foreign direct investment, net inflows (BoP, current US$) (millions)2020",Net official development assistance received (current US$) (millions)1990,Net official development assistance received (current US$) (millions)2000,Net official development assistance received (current US$) (millions)2010,Net official development assistance received (current US$) (millions)2020
Afghanistan,https://api.worldbank.org/v2/en/country/AFG?downloadformat=csv,12.41,20.78,29.19,38.93,4.5,3.0,2.7,2.3,652.9,652.9,652.9,652.9,19.0,31.8,44.7,56.9,..,..,38.3,..,..,..,..,..,..,..,14.87,19.56,..,..,510,500,..,..,50.01,82.04,..,..,"1,710","2,110",..,..,..,..,50,56,61,65,7.5,7.5,6.0,4.3,163,154,114,61,..,5,22,19,..,12,34,59,178,129,88,60,..,44.9,24.6,19.1,20,27,62,64,28,..,..,86,29.0,21.0,100.1,104.0,11,12,51,55,1,0,1,1,0.1,0.1,0.1,0.1,12.1,12.1,12.1,12.1,..,..,..,0.1,49.8,43.0,43.0,43.0,4.9,3.4,3.6,3.4,..,..,..,..,0.24,0.04,0.30,0.20,..,..,..,..,..,4.06,15.86,19.81,..,8.8,14.4,-1.9,..,11.7,3.8,5.5,..,39,26,27,..,24,21,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.1,13.0,..,..,1.5,0.4,..,..,10,9,..,..,..,..,..,..,9.2,9.9,..,..,1.9,1.2,0.0,0.0,35.0,59.4,0.0,0.0,4.0,11.4,..,..,..,..,..,..,52,58,..,63,35,37,..,100,145,165,..,..,"2,436","2,662",..,..,0.4,3.0,"3,076",744,522,-315,..,..,378,789,0,0,191,23,122.7,136.0,"6,235.3","4,284.4"
Albania,https://api.worldbank.org/v2/en/country/ALB?downloadformat=csv,3.29,3.09,2.91,2.84,1.8,-0.6,-0.5,-0.6,28.8,28.8,28.8,28.8,119.9,112.7,106.3,104.6,..,25.4,14.3,..,..,1.6,0.8,1.3,2.14,3.41,12.71,14.77,650,"1,100","4,360","5,210",8.37,12.30,27.79,38.53,"2,550","3,980","9,540","13,580",..,8.4,8.9,7.5,72,74,77,79,3.0,2.2,1.7,1.6,18,19,20,20,..,58,69,46,93,99,99,100,41,27,13,10,..,17.0,6.3,1.5,88,95,99,95,..,97,89,103,99.5,104.2,93.5,104.8,90,71,88,95,1,1,1,1,0.1,0.1,0.1,0.1,7.9,7.7,7.8,7.9,..,..,..,13.5,4.4,6.2,4.4,4.4,2.5,0.7,1.6,0.9,813,580,729,..,1.84,1.03,1.57,1.94,552,"1,450","1,943",..,2.03,3.48,11.93,14.80,-9.6,7.0,3.7,-3.3,-0.4,5.6,4.5,-1.0,..,25,18,19,..,19,25,20,15,20,28,23,24,43,49,38,30,31,30,24,..,24.0,23.9,25.3,..,-6.8,-3.9,-1.4,..,41,6,5,..,..,67.5,70.8,..,16.5,18.0,18.3,5.9,1.2,1.6,1.3,0.0,1.0,91.3,91.3,0.0,0.1,45.0,69.6,..,..,1,0,..,..,70,88,30,39,50,55,..,100,95,93,511,"1,122","5,437","9,626",4.3,4.5,10.3,12.3,-443,-177,-137,-70,152,598,"1,587","1,466",0,143,"1,090","1,201",11.1,317.9,365.1,28.4
Algeria,https://api.worldbank.org/v2/en/country/DZA?downloadformat=csv,25.76,31.04,35.98,43.85,2.6,1.4,1.8,1.8,"2,381.7","2,381.7","2,381.7","2,381.7",10.8,13.0,15.1,17.7,..,..,5.5,..,6.3,..,0.4,..,60.96,49.49,161.03,155.73,"2,370","1,590","4,480","3,550",171.65,249.23,470.00,482.86,"6,660","8,030","13,060","11,010",6.5,..,9.4,..,67,71,75,77,4.7,2.5,2.9,3.0,28,12,11,10,51,64,56,..,77,92,97,..,50,40,27,23,9.2,5.4,3.0,2.7,83,80,95,80,77,80,96,101,92.6,105.2,115.3,107.3,59,65,97,..,1,1,1,..,0.1,0.1,0.1,0.1,16.7,15.8,19.2,19.3,..,..,..,7.1,41.6,53.7,69.3,87.1,4.1,2.7,2.9,2.6,861,870,"1,114",..,2.64,2.53,3.14,3.59,532,683,"1,017",..,62.05,54.79,161.21,145.16,0.8,3.8,3.6,-5.5,30.3,22.7,16.1,-4.7,..,8,8,14,..,54,50,34,23,42,38,17,25,21,31,28,29,24,41,45,..,..,..,..,..,..,..,..,..,25,22,18,..,..,..,..,..,..,..,..,1.5,3.4,3.5,6.0,0.0,0.3,91.1,109.4,0.0,0.5,12.5,49.0,..,..,1,1,..,..,59,50,37,57,60,39,74,100,225,184,"28,154","25,462","7,253","5,492",65.1,..,1.0,0.5,-129,-205,-143,-50,352,790,197,"1,682",0,280,"2,300","1,381",331.6,200.0,201.3,175.7
American Samoa,https://api.worldbank.org/v2/en/country/ASM?downloadformat=csv,0.05,0.06,0.06,0.06,3.1,1.3,-1.0,-0.2,0.2,0.2,0.2,0.2,236.8,289.1,280.4,277.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.2,0.2,0.2,..,..,..,8.7,..,..,..,..,4.0,1.9,-1.2,-0.2,..,..,..,..,..,..,..,..,..,..,..,..,..,0.51,0.57,0.64,..,1.0,0.3,-1.5,..,1.4,-15.4,1.0,..,..,..,..,..,..,..,..,..,101,64,63,..,110,94,98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,3.4,..,..,0.0,..,..,..,..,..,..,..,..,..,..,..,..,171,119,168,..,100,152,146,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,https://api.worldbank.org/v2/en/country/AND?downloadformat=csv,0.05,0.07,0.08,0.08,3.8,1.6,0.0,0.2,0.5,0.5,0.5,0.5,116.0,139.1,179.7,163.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..,..,..,..,..,..,..,..,100,13,8,5,3,..,..,..,..,..,97,99,99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.2,0.2,0.2,..,..,..,26.7,..,..,..,..,3.7,1.3,-0.1,0.1,..,..,..,..,7.52,7.95,6.16,5.97,..,..,..,..,1.03,1.43,3.45,3.16,3.8,3.5,-2.0,-12.0,7.3,28.7,0.4,1.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,36.0,77.6,114.0,0.0,10.5,81.0,91.6,..,..,24,28,..,..,..,..,..,..,..,54,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,https://api.worldbank.org/v2/en/country/AGO?downloadformat=csv,11.85,16.40,23.36,32.87,3.4,3.3,3.7,3.2,"1,246.7","1,246.7","1,246.7","1,246.7",9.5,13.2,18.7,24.7,..,..,..,32.3,..,36.4,34.4,49.9,9.21,5.90,75.54,73.42,780,360,"3,230","2,230",35.48,45.82,139.02,197.98,"2,990","2,790","5,950","6,020",..,3.2,5.4,3.8,45,47,55,61,7.3,6.6,6.2,5.4,217,197,173,145,..,6,18,..,..,45,47,..,222,204,120,75,..,..,15.6,..,38,32,62,51,29,..,40,..,73.0,71.5,105.8,..,8,12,26,..,..,1,1,..,0.2,0.8,1.7,1.9,792.6,777.1,721.6,677.2,..,..,..,5.0,0.4,0.5,0.5,0.5,7.3,5.7,4.9,4.2,497,439,521,..,0.53,0.75,1.22,0.89,53,75,206,..,11.24,9.13,83.80,62.31,-3.5,3.1,4.4,-4.0,14.0,418.0,32.3,15.1,..,6,6,9,..,72,52,45,..,90,62,35,..,63,43,27,0,30,28,23,..,52.8,35.0,20.3,..,26.3,0.8,1.4,..,83,66,36,..,..,..,30.1,..,28.7,16.6,9.4,17.5,6.4,4.2,1.6,0.0,0.2,40.3,46.6,0.0,0.1,2.8,14.3,..,..,..,6,..,..,46,46,49,120,80,49,94,100,195,172,"8,592","9,763","26,596","51,998",8.1,20.9,5.7,27.4,143,261,166,32,..,..,18,8,-335,879,"-3,227","-4,098",265.8,302.2,235.2,49.5
Antigua and Barbuda,https://api.worldbank.org/v2/en/country/ATG?downloadformat=csv,0.06,0.08,0.09,0.10,0.8,1.8,1.5,0.8,0.4,0.4,0.4,0.4,142.1,172.7,200.1,218.8,..,..,..,..,..,..,..,..,0.43,0.77,1.12,1.39,"6,820","10,100","12,690","14,250",0.66,1.21,1.77,1.82,"10,480","15,940","20,110","18,610",..,..,..,..,72,74,76,77,2.1,2.2,2.0,2.0,76,62,49,41,53,53,..,..,..,100,100,100,14,16,10,7,..,..,..,..,89,95,98,93,86,..,107,96,102.4,127.6,112.3,105.0,98,80,113,111,1,..,1,1,..,..,..,..,0.1,0.1,0.1,0.1,..,..,..,0.3,4.1,8.5,8.5,8.5,1.1,0.6,-0.7,0.5,"1,580",..,"1,737",..,3.36,4.34,5.57,5.50,..,..,..,..,0.46,0.83,1.15,1.42,3.0,6.2,-7.8,-16.0,1.7,1.6,1.5,1.3,2,2,2,2,14,14,16,22,143,99,80,42,92,75,73,46,22,29,28,56,..,..,..,..,..,..,..,..,..,..,22,19,..,..,..,..,..,..,..,..,..,..,..,..,0.0,28.9,190.8,192.8,0.0,6.5,47.0,..,..,..,..,1,..,..,42,44,60,56,48,36,..,100,75,52,..,..,..,..,..,..,..,..,2,0,1,0,13,17,20,25,61,43,97,139,4.6,9.9,19.7,27.4
Argentina,https://api.worldbank.org/v2/en/country/ARG?downloadformat=csv,32.62,36.87,40.79,45.38,1.5,1.1,0.8,1.0,"2,780.4","2,780.4","2,780.4","2,780.4",11.9,13.5,14.9,16.3,..,..,..,35.5,1.3,6.8,1.4,1.5,103.92,275.54,378.14,405.20,"3,190","7,470","9,270","8,930",224.41,417.02,711.42,917.20,"6,880","11,310","17,440","20,210",4.8,3.2,4.6,4.7,72,74,75,77,3.0,2.5,2.3,2.2,73,66,63,62,..,65,55,..,97,99,95,94,29,20,14,9,..,..,..,1.7,93,91,95,94,..,97,104,100,106.9,115.7,117.0,109.7,71,96,100,109,1,1,1,1,0.1,0.3,0.4,0.4,352.0,333.8,302.1,287.9,..,..,..,7.4,9.7,10.9,12.9,12.9,1.9,1.3,0.9,1.1,"1,412","1,670","1,929",..,3.06,3.58,4.12,3.99,"1,304","2,089","2,878",..,141.35,284.20,423.63,383.07,-2.5,-0.8,10.1,-9.9,"2,078.3",1.0,20.9,39.8,8,5,7,7,36,26,25,22,10,11,19,17,5,12,16,14,14,18,18,14,10.4,14.2,21.2,18.8,-0.1,-2.8,..,-4.0,..,66,25,12,32.4,34.5,25.3,38.9,4.8,9.6,12.9,10.6,1.5,1.1,0.8,0.7,0.0,17.6,139.6,125.8,0.0,7.0,45.0,74.3,..,..,8,5,..,..,87,79,12,18,30,25,64,100,146,151,"62,478","150,063","126,642","279,306",37.1,64.3,18.6,46.5,-105,-125,30,24,23,86,644,632,"1,836","10,418","11,333","6,663",171.6,74.6,130.3,18.3
Armenia,https://api.worldbank.org/v2/en/country/ARM?downloadformat=csv,3.54,3.07,2.88,2.96,0.0,-0.6,-0.4,0.2,29.7,29.7,29.7,29.7,124.3,107.8,101.1,103.7,..,..,..,26.4,..,14.4,1.0,1.1,1.06,2.03,9.99,12.51,310,660,"3,470","4,220",9.45,8.41,22.67,38.75,"2,670","2,740","7,880","13,080",..,7.7,9.1,9.0,68,71,73,75,2.5,1.6,1.7,1.8,74,39,26,20,56,61,55,..,100,97,100,..,49,31,19,12,..,2.6,5.3,..,93,92,97,95,..,94,94,93,104.3,98.7,99.1,91.8,92,92,105,86,..,1,1,1,0.1,0.1,0.2,0.2,3.4,3.3,3.3,3.3,..,..,..,23.1,..,25.3,42.9,41.8,-0.4,-1.1,-0.5,0.3,"2,179",656,863,..,5.61,1.16,1.51,1.88,"2,723","1,298","1,726",..,2.26,1.91,9.26,12.65,-11.7,5.9,2.2,-7.6,79.4,-1.4,7.8,1.9,..,..,18,12,..,..,28,26,35,22,20,31,46,50,45,39,47,22,39,17,..,..,22.6,23.8,..,..,-5.0,-0.5,..,18,14,4,..,..,27.8,83.4,..,..,17.1,22.2,2.2,3.6,4.3,4.9,0.0,0.6,134.3,122.3,0.0,1.3,25.0,68.2,..,..,2,10,..,..,92,94,23,62,52,56,..,100,131,133,134,"1,018","6,307","11,887",1.2,8.7,29.7,31.5,-496,-161,-31,-25,..,182,"1,669","1,327",2,104,529,254,2.7,215.9,320.3,419.7
Aruba,https://api.worldbank.org/v2/en/country/ABW?downloadformat=csv,0.06,0.09,0.10,0.11,1.8,2.1,0.2,0.4,0.2,0.2,0.2,0.2,345.3,504.8,564.8,588.0,..,..,..,..,..,..,..,..,0.76,1.82,2.27,2.86,"12,230","20,000","22,380","27,120",1.43,2.87,3.12,3.87,"23,070","31,620","30,710","36,750",..,..,..,..,73,74,75,76,2.2,1.9,1.8,1.9,50,44,31,20,..,..,..,..,..,96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97,95,..,..,110.8,113.8,..,..,97,96,..,..,1,1,..,..,..,..,..,0.0,0.0,0.0,0.0,..,..,..,0.1,..,..,..,..,1.8,1.2,-0.6,0.8,..,..,..,..,10.63,..,..,..,..,..,..,..,0.76,1.87,2.39,3.20,4.0,7.6,-3.7,2.0,5.8,1.0,-0.7,1.6,..,0,0,..,..,16,16,..,..,74,61,74,..,71,78,75,..,25,29,22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,16.5,129.6,..,0.0,15.4,62.0,97.2,..,..,4,4,..,..,..,..,96,272,69,..,..,100,95,98,..,..,..,..,..,..,..,..,14,6,1,1,3,1,5,35,131,-128,187,-75,30.0,-7.4,..,..
